,zpid,streetAddress,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,livingArea,lotAreaValue,lotAreaUnit,rentZestimate,taxAssessedValue,price,walkscore,bikescore,violent_crime,property_crime,cost_of_living,avg_sal,st_ratio,air_quality,n_per_household
124,26841195,2354 Hillglenn Rd,Dallas,TX,75228,32.824936,-96.67471,4.0,2.0,1171,9191.16,sqft,1599.0,149460.0,295000,50.0,21.0,58.0,67.2,99.8,"$36,773",10,51,3.0
125,26936451,14753 Celestial Pl,Dallas,TX,75254,32.94705,-96.81482,4.0,4.0,4313,10585.08,sqft,,889740.0,1350000,44.0,11.0,64.4,73.8,96.7,"$43,577",10,41,2.2
126,53081085,17490 Meandering Way APT 2003,Dallas,TX,75252,32.990795,-96.77782,2.0,2.0,1035,11.35,acres,1724.0,177465.0,256900,56.0,25.0,42.2,56.5,124.0,"$55,237",10,48,2.1
127,96490345,6918 Capella Park Ave,Dallas,TX,75236,32.701263,-96.94417,4.0,3.0,2767,8886.24,sqft,1161.0,347840.0,497000,28.0,52.0,65.3,73.1,95.9,"$38,408",10,54,2.9
128,26869400,9628 Millridge Cir,Dallas,TX,75243,32.90363,-96.729706,4.0,3.0,2694,5967.72,sqft,3093.0,351420.0,740000,41.0,60.0,63.7,72.7,102.0,"$36,010",10,48,2.5
129,26893699,7104 Colada Ct,Dallas,TX,75248,32.961178,-96.78599,3.0,3.0,1927,7148.196,sqft,2699.0,242500.0,380000,63.0,77.0,35.2,49.4,129.0,"$68,745",10,49,2.2
130,26695396,5330 Ridgedale Ave,Dallas,TX,75206,32.825207,-96.77849,3.0,3.0,1828,8712.0,sqft,3362.0,596770.0,759000,63.0,68.0,47.6,61.2,132.5,"$52,889",10,44,1.8
131,303985208,5911 Lindell Ave UNIT 101,Dallas,TX,75206,32.80905,-96.766716,2.0,3.0,1699,6534.0,sqft,2929.0,456230.0,575000,69.0,20.0,47.6,61.2,132.5,"$52,889",10,44,1.8
132,26699955,6635 Tyree St,Dallas,TX,75209,32.839523,-96.8325,4.0,4.0,3702,6185.52,sqft,,750400.0,1450000,58.0,41.0,33.4,46.7,152.1,"$81,791",10,43,2.3
133,26813690,5621 Rocky Ridge Rd,Dallas,TX,75241,32.677544,-96.819595,3.0,2.0,1490,0.223,sqft,1681.0,170240.0,295000,35.0,59.0,70.1,76.0,92.1,"$32,258",10,25,3.0
134,303983449,1209 Crownview Ln,Dallas,TX,75208,32.77151,-96.84042,3.0,3.0,1704,2831.4,sqft,2940.0,385000.0,529000,36.0,74.0,49.5,60.4,107.9,"$46,547",10,41,3.1
135,26850606,338 Park Brook Dr,Dallas,TX,75218,32.85953,-96.70181,4.0,4.0,3194,0.29,acres,3499.0,351080.0,674950,50.0,54.0,35.8,50.3,121.6,"$71,820",10,51,2.3
136,2061719655,10731 Villager Rd #A,Dallas,TX,75230,32.894203,-96.80759,2.0,2.0,1071,11.311,acres,,,225000,58.0,36.0,33.6,46.8,161.1,"$69,028",10,43,2.2
137,2128099294,7522 Holly Hill Dr APT 33,Dallas,TX,75231,32.879017,-96.7545,2.0,3.0,1168,4356.0,sqft,1911.0,,233500,59.0,4.0,66.4,74.8,92.5,"$32,011",10,47,2.5
138,26703377,6245 Revere Pl,Dallas,TX,75214,32.8312,-96.75821,3.0,3.0,2455,6229.08,sqft,3901.0,545100.0,949900,49.0,19.0,35.3,49.6,142.8,"$71,740",10,50,2.2
139,26896251,10117 Teagarden Rd,Dallas,TX,75217,32.676975,-96.64697,0.0,0.0,1130,5.0,acres,1995.0,108590.0,525000,30.0,31.0,60.6,67.8,92.1,"$35,786",10,50,3.8
140,26767899,2130 Van Cleave Dr,Dallas,TX,75216,32.721516,-96.78851,3.0,2.0,2156,10497.96,sqft,2269.0,195170.0,289900,43.0,46.0,70.7,76.4,82.1,"$23,591",10,36,2.9
141,26775948,4535 Kushla Ave,Dallas,TX,75216,32.68765,-96.80845,2.0,2.0,1258,7962.768,sqft,1584.0,144510.0,169000,34.0,42.0,70.7,76.4,82.1,"$23,591",10,36,2.9
142,26874743,7844 La Cabeza Dr,Dallas,TX,75248,32.970997,-96.770966,4.0,3.0,2412,8624.88,sqft,2939.0,359980.0,525000,53.0,35.0,35.2,49.4,129.0,"$68,745",10,49,2.2
143,69671011,1155 Tomahawk Dr,Dallas,TX,75253,32.683437,-96.58676,3.0,2.0,1482,5227.2,sqft,1803.0,158930.0,279900,33.0,60.0,58.0,65.7,97.1,"$34,788",10,57,3.4
144,26848764,6239 Twin Oaks Cir,Dallas,TX,75240,32.926846,-96.798065,3.0,3.0,2815,4399.56,sqft,3293.0,398000.0,615000,37.0,32.0,67.6,75.6,108.5,"$36,498",10,42,2.7
145,26717155,2511 Kingston St,Dallas,TX,75211,32.734234,-96.85965,3.0,1.0,1390,7579.44,sqft,1374.0,113650.0,199999,51.0,6.0,59.1,67.3,94.3,"$36,908",10,50,3.6
146,2094980808,3121 Park Ln APT 1107,Dallas,TX,75220,32.875935,-96.872894,2.0,2.0,970,435.6,sqft,,,135000,53.0,89.0,58.2,67.6,115.2,"$38,628",10,38,3.2
147,26897388,12449 Fallen Leaf Dr,Dallas,TX,75253,32.698997,-96.59165,3.0,2.0,1186,0.340999999999999,acres,1695.0,38000.0,277500,27.0,67.0,58.0,65.7,97.1,"$34,788",10,57,3.4
148,2137387654,3225 Turtle Creek Blvd APT 514,Dallas,TX,75219,32.806614,-96.80383,1.0,1.0,844,3.54,acres,1662.0,,280000,66.0,19.0,47.7,61.0,111.5,"$60,726",10,40,1.7
149,26900381,5200 Keller Springs Rd APT 527,Dallas,TX,75248,32.96839,-96.81976,2.0,2.0,1685,7.599,acres,2456.0,252750.0,399000,53.0,10.0,35.2,49.4,129.0,"$68,745",10,49,2.2
150,26850140,2118 San Francisco Dr,Dallas,TX,75228,32.85395,-96.6744,3.0,1.0,1171,7361.64,sqft,1550.0,136620.0,285000,46.0,58.0,58.0,67.2,99.8,"$36,773",10,51,3.0
151,26885413,3307 Mallory Dr,Dallas,TX,75216,32.707546,-96.76134,3.0,1.0,1228,0.918273645546372,acres,1399.0,117810.0,225000,29.0,84.0,70.7,76.4,82.1,"$23,591",10,36,2.9
152,26779304,3818 S Hampton Rd,Dallas,TX,75224,32.6967,-96.85666,4.0,4.0,2090,9670.32,sqft,1849.0,132590.0,390000,43.0,84.0,65.1,71.9,89.6,"$34,592",10,31,3.3
153,2116034622,509 Elm St APT 201,Dallas,TX,75202,32.779694,-96.80806,1.0,1.0,630,0.0,sqft,1500.0,,229500,76.0,51.0,49.4,63.1,104.7,"$79,336",10,18,1.5
154,26931267,2727 Reagan St APT D,Dallas,TX,75219,32.807877,-96.81362,2.0,2.0,983,8842.68,sqft,1981.0,235920.0,295000,71.0,46.0,47.7,61.0,111.5,"$60,726",10,40,1.7
155,26852488,11055 Ferguson Rd,Dallas,TX,75228,32.846916,-96.65999,4.0,3.0,2110,7927.92,sqft,2498.0,204340.0,340000,50.0,8.0,58.0,67.2,99.8,"$36,773",10,51,3.0
156,26872178,6935 Roundrock Rd,Dallas,TX,75248,32.957237,-96.78882,4.0,4.0,2923,0.281,acres,2999.0,479750.0,679000,46.0,93.0,35.2,49.4,129.0,"$68,745",10,49,2.2
157,26641649,6015 Lloyd Ct,Dallas,TX,75252,33.008633,-96.80053,2.0,2.0,1587,3484.8,sqft,2199.0,253481.0,359900,34.0,33.0,42.2,56.5,124.0,"$55,237",10,48,2.1
158,67957011,2484 Worthington St,Dallas,TX,75204,32.79737,-96.79919,3.0,3.0,1913,1611.72,sqft,,536330.0,649900,74.0,40.0,60.4,70.9,123.1,"$66,646",10,38,1.8
159,26908897,2219 Nantucket Village Dr,Dallas,TX,75227,32.750126,-96.64625,2.0,1.0,801,3798.0,sqft,1266.0,90610.0,250000,42.0,53.0,53.9,63.3,92.9,"$38,201",10,53,3.4
160,26849196,6239 Dykes Way,Dallas,TX,75230,32.91978,-96.79853,5.0,6.0,5964,0.362,acres,9668.0,1421720.0,2199000,39.0,70.0,33.6,46.8,161.1,"$69,028",10,43,2.2
161,26846480,1824 Abshire Ln,Dallas,TX,75228,32.810135,-96.683136,3.0,2.0,1716,4647.852,sqft,1924.0,140200.0,230000,52.0,68.0,58.0,67.2,99.8,"$36,773",10,51,3.0
162,2061735087,9809 Walnut St #112,Dallas,TX,75243,32.922966,-96.71782,1.0,1.0,551,8.814,acres,,,90000,54.0,77.0,63.7,72.7,102.0,"$36,010",10,48,2.5
163,2068995051,9813 Walnut St APT G301,Dallas,TX,75243,32.922916,-96.71771,1.0,1.0,535,8.814,acres,,,70000,54.0,40.0,63.7,72.7,102.0,"$36,010",10,48,2.5
164,2093810155,2300 N Fitzhugh Ave UNIT 50,Dallas,TX,75204,32.810555,-96.78113,2.0,3.0,1448,0.62,acres,,,474900,64.0,53.0,60.4,70.9,123.1,"$66,646",10,38,1.8
165,26751871,7514 Greenbrier Dr,Dallas,TX,75225,32.85784,-96.7783,3.0,3.0,2664,0.344352617079889,acres,6310.0,860000.0,2349900,50.0,40.0,6.7,12.9,229.3,"$156,173",10,43,2.5
166,2128768581,6065 Milton St APT 232,Dallas,TX,75206,32.849567,-96.762505,2.0,2.0,1023,0.809999999999999,acres,2013.0,,205000,62.0,45.0,47.6,61.2,132.5,"$52,889",10,44,1.8
167,26742003,10226 Eastwood Dr,Dallas,TX,75228,32.83351,-96.684,3.0,2.0,1740,8097.804,sqft,2129.0,297500.0,401000,46.0,63.0,58.0,67.2,99.8,"$36,773",10,51,3.0
